,CLASS,DIVORCE,HAPPY,RELIG16
2,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
3,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
5,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
8,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
9,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
13,WORKING CLASS,NO,VERY HAPPY,PROTESTANT
15,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
16,WORKING CLASS,NO,NOT TOO HAPPY,CATHOLIC
17,MIDDLE CLASS,NO,VERY HAPPY,MOSLEM/ISLAM
20,MIDDLE CLASS,NO,VERY HAPPY,ORTHODOX-CHRISTIAN
22,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
24,MIDDLE CLASS,NO,VERY HAPPY,PROTESTANT
25,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
30,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
31,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
32,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
35,WORKING CLASS,YES,VERY HAPPY,JEWISH
36,MIDDLE CLASS,NO,PRETTY HAPPY,JEWISH
38,WORKING CLASS,YES,PRETTY HAPPY,PROTESTANT
42,LOWER CLASS,NO,VERY HAPPY,CATHOLIC
43,MIDDLE CLASS,NO,PRETTY HAPPY,OTHER
45,WORKING CLASS,YES,NOT TOO HAPPY,CATHOLIC
46,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
47,UPPER CLASS,NO,PRETTY HAPPY,CATHOLIC
53,WORKING CLASS,NO,VERY HAPPY,HINDUISM
54,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
56,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
60,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
61,LOWER CLASS,NO,NOT TOO HAPPY,PROTESTANT
63,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
66,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
69,LOWER CLASS,NO,VERY HAPPY,PROTESTANT
71,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
72,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
73,UPPER CLASS,NO,PRETTY HAPPY,CATHOLIC
76,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
77,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
80,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
81,WORKING CLASS,NO,PRETTY HAPPY,CHRISTIAN
83,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
87,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
88,MIDDLE CLASS,YES,PRETTY HAPPY,CATHOLIC
91,MIDDLE CLASS,YES,NOT TOO HAPPY,PROTESTANT
93,MIDDLE CLASS,NO,NOT TOO HAPPY,PROTESTANT
96,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
98,MIDDLE CLASS,NO,PRETTY HAPPY,MOSLEM/ISLAM
99,WORKING CLASS,NO,VERY HAPPY,ORTHODOX-CHRISTIAN
102,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
103,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
108,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
109,MIDDLE CLASS,NO,NOT TOO HAPPY,CATHOLIC
111,MIDDLE CLASS,YES,VERY HAPPY,CATHOLIC
114,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
115,MIDDLE CLASS,NO,VERY HAPPY,CATHOLIC
116,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
117,WORKING CLASS,NO,PRETTY HAPPY,PROTESTANT
118,WORKING CLASS,YES,VERY HAPPY,CATHOLIC
120,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
121,WORKING CLASS,NO,PRETTY HAPPY,CATHOLIC
122,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
123,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
126,WORKING CLASS,YES,PRETTY HAPPY,JEWISH
128,MIDDLE CLASS,NO,PRETTY HAPPY,CATHOLIC
130,WORKING CLASS,NO,VERY HAPPY,CATHOLIC
131,MIDDLE CLASS,NO,VERY HAPPY,MOSLEM/ISLAM
132,MIDDLE CLASS,NO,PRETTY HAPPY,NONE
133,MIDDLE CLASS,NO,PRETTY HAPPY,PROTESTANT
134,MIDDLE CLASS,YES,PRETTY HAPPY,PROTESTANT
